source_row,dedup_id,title,year,journal,candidate_topics,gpt_decision,gpt_reason,deepseek_decision,deepseek_reason,recommended_action
55,D0004721,Financial and social circumstances and the incidence and course of PTSD in Mississippi during the first two years after Hurricane Katrina,2008,Journal of Traumatic Stress,cyclone,NARRATIVE_ONLY,"Adults were interviewed after Katrina and PTSD onset/course was related to reported losses, events, and stressors; no pre-event mental-health outcome was measured.",NARRATIVE_ONLY,"Post-Katrina cross-sectional survey of 810 adults in affected Mississippi counties; PTSD prevalence/duration and determinants are based on self-reported hurricane-related traumatic events, financial loss, and social stressors. No unaffected comparison, pre-event outcome, or objective hazard variation; no credible counterfactual.",DO_NOT_ADVANCE_MAIN_META
56,D0004764,Unwanted intrusive thoughts and cognitive functioning in kindergarten and young elementary school-age children following Hurricane Katrina,2008,Journal of Clinical Child and Adolescent Psychology,cyclone,NARRATIVE_ONLY,"Children were surveyed once seven months after Katrina and compared with unaffected children, with no pre-event outcome.",EXCLUDE,"The study measures unwanted intrusive thoughts and cognitive functioning in children after Hurricane Katrina. Intrusive thoughts are not among the eligible mental-health outcomes, so the record is excluded for wrong outcome.",DO_NOT_ADVANCE_MAIN_META
57,D0004968,A preliminary investigation of family coping styles and psychological well-being among adolescent survivors of Hurricane Katrina,2008,Journal of Family Psychology,cyclone,NARRATIVE_ONLY,Displaced adolescents and matched nonaffected adolescents were compared after Katrina; there is no pre-event mental-health baseline and trauma experiences were reported retrospectively.,NARRATIVE_ONLY,"Post-event cross-sectional comparison of 50 Katrina-displaced adolescents vs 31 matched unaffected; no pre-event outcomes or credible counterfactual, so group differences in distress/depression cannot be interpreted as causal hazard effects.",DO_NOT_ADVANCE_MAIN_META
58,D0005018,Symptoms of depression and posttraumatic stress disorder in an outpatient population before and after Hurricane Katrina,2008,Depression and Anxiety,cyclone,FULLTEXT_REVIEW,"Different clinic patients were sampled in the month before and after Katrina; depression changed, but comparability, temporal control, and effect uncertainty are not established.",NARRATIVE_ONLY,"The abstract reports depression/PTSD scores for separate outpatient samples in the month before (n=76) and month after (n=80) Katrina; independent cross-sections, not within-person pre/post, so no credible counterfactual for a causal hurricane effect.",ADJUDICATE_PRIORITY
59,D0005286,Impact of childhood exposure to a natural disaster on adult mental health: 20-year longitudinal follow-up study,2009,The British Journal of Psychiatry,wildfire,NARRATIVE_ONLY,"Bushfire survivors and matched controls were assessed 20 years later, but the abstract does not report a pre-fire mental-health outcome; this is a long-term post-event comparison.",NARRATIVE_ONLY,"20-year follow-up comparing bushfire-exposed adults with matched controls reports adult psychiatric outcomes only after the event; no pre-event mental-health outcome or credible counterfactual is described, and no quantitative hazard effect with uncertainty is reported.",DO_NOT_ADVANCE_MAIN_META
60,D0005325,Hurricane Katrina and youth anxiety: The role of perceived attachment beliefs and parenting behaviors,2009,Journal of Anxiety Disorders,cyclone,NARRATIVE_ONLY,"All participants were Katrina-exposed and the analysis tests attachment and parenting as moderators of pre/post anxiety, without estimating variation in the hurricane hazard.",NARRATIVE_ONLY,"Abstract tests attachment/parenting as moderators of pre-to-post Katrina anxiety in 74 exposed youth; it does not report a hurricane effect estimate or uncertainty, only moderation of the pre-post anxiety relation, so this is predictor analysis without a hazard effect.",DO_NOT_ADVANCE_MAIN_META
61,D0005379,Postpartum mental health after Hurricane Katrina: A cohort study,2009,BMC Pregnancy and Childbirth,cyclone,NARRATIVE_ONLY,Postpartum outcomes were related to women's reported hurricane experiences; no external exposure linkage or pre-event mental-health baseline is described.,NARRATIVE_ONLY,"Hurricane exposure is assessed via self-reported experiences (life danger, family injury, property damage), not objective or externally verifiable hazard variation. Outcomes are eligible depression/PTSD, but the exposure measurement alone disqualifies for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
62,D0005405,A Pre-/Post-Disaster Epidemiological Study of Mental Health Functioning in Vietnam's Da Nang Province Following Typhoon Xangsane.,2009,International perspectives in victimology,cyclone,FULLTEXT_REVIEW,"The same participants were assessed before and after Typhoon Xangsane, but only caseness prevalences are reported, without a hazard-effect estimate and uncertainty.",FULLTEXT_REVIEW,"Pre/post typhoon cohort with SRQ-20 mental health caseness qualifies for exposure, outcome, and longitudinal pre-event baseline, but abstract gives only pre/post prevalence (20.7% vs 27.1%) without a hazard-effect estimate or uncertainty. Full text must confirm an extractable quantitative pre-post effect and variance.",FULLTEXT_REVIEW
63,D0005406,Locus of control and psychopathology in relation to levels of trauma and loss: Self-reports of Peloponnesian wildfire survivors,2009,Journal of Traumatic Stress,wildfire,NARRATIVE_ONLY,Fire-area residents and adjacent controls supplied post-event self-reports only; no pre-fire mental-health outcome was measured.,NARRATIVE_ONLY,"Single-wave post-wildfire survey compares disaster-area and non-fire-damaged residents but examines locus-of-control-psychopathology correlations by trauma/loss, not a wildfire effect on mental health; no pre-event baseline or hazard effect estimate.",DO_NOT_ADVANCE_MAIN_META
64,D0005538,"PTSD in Vietnamese Americans following Hurricane Katrina: Prevalence, patterns, and predictors",2009,Journal of Traumatic Stress,cyclone|flood,NARRATIVE_ONLY,"The cohort existed before Katrina, but PTSD was assessed only afterward and related to reported floodwater exposure, property loss, and subjective trauma.",NARRATIVE_ONLY,"One-year post-Katrina assessment of 82 adults; no pre-event PTSD outcome is reported, exposure is retrospective self-report, and analysis is descriptive/predictor only without a credible counterfactual.",DO_NOT_ADVANCE_MAIN_META
65,D0005638,Combined effects of Hurricane Katrina and Hurricane Gustav on the mental health of mothers of small children,2011,Journal of Psychiatric and Mental Health Nursing,cyclone,NARRATIVE_ONLY,"Repeated mental-health data were available, but Katrina and Gustav severity was defined through reported injury, danger, and damage without external hazard linkage.",NARRATIVE_ONLY,"Hurricane exposure was assessed via self-reported questions about injury, danger, and damage, not objective or externally verifiable hazard variation, so a causal hazard effect cannot be extracted despite eligible mental health outcomes and longitudinal measures.",DO_NOT_ADVANCE_MAIN_META
66,D0005642,Emergency department patient presentations during the 2009 heatwaves in Adelaide,2010,Collegian,temperature,FULLTEXT_REVIEW,"ED presentations during two defined heatwaves are compared with periods before and after, but no quantitative mental-health result or uncertainty is reported.",FULLTEXT_REVIEW,"Original ED presentation data during heatwave versus non-heatwave periods; mental health is mentioned as affected but no mental-health-specific estimate, uncertainty, or statistical comparison is reported in the abstract. Full text needed to confirm objective heatwave source, outcome categories, and extractable effect.",FULLTEXT_REVIEW
67,D0005668,"Resource loss, resource gain, and mental health among survivors of Hurricane Katrina",2010,Journal of Traumatic Stress,cyclone,EXCLUDE,The explanatory variables are post-hurricane resource loss and gain; disaster exposure is controlled as a covariate rather than estimated as the main hazard effect.,NARRATIVE_ONLY,"Abstract reports a longitudinal predictor analysis of resource loss/gain and posthurricane psychological distress, not a hazard effect. Disaster exposure is only a covariate and no Hurricane Katrina effect estimate or uncertainty is reported.",DO_NOT_ADVANCE_MAIN_META
68,D0005770,After Hurricanes Katrina and Rita: Gender differences in health and religiosity in middle-aged and older adults,2010,Health Care for Women International,cyclone,NARRATIVE_ONLY,"The pre/post analysis reports gender differences and religiosity correlations, not an estimated hurricane effect on an eligible mental-health outcome.",FULLTEXT_REVIEW,"Abstract reports pre- and post-disaster SF-36 scores after Hurricanes Katrina/Rita, with SF-36 mental health scores measured, but it only describes changes in physical function/bodily pain and gender differences in mental health. No quantitative hurricane effect on mental health with uncertainty is reported, so full text must establish extractable hazard-specific mental-health effect.",ADJUDICATE_PRIORITY
69,D0005795,Trends in serious emotional disturbance among youths exposed to Hurricane Katrina,2010,Journal of the American Academy of Child & Adolescent Psychiatry,cyclone,NARRATIVE_ONLY,"Youth functioning was reported at two post-Katrina waves; the pre-hurricane prevalence is an external national estimate, not a measured cohort baseline.",NARRATIVE_ONLY,"Two post-hurricane survey waves only (18-27 months and 12-18 months later) with no pre-event outcome; no unexposed control or objective hazard variation. Analyses use self-reported hurricane-related stressors to predict SED trends, so no credible counterfactual for a hurricane effect.",DO_NOT_ADVANCE_MAIN_META
